email,response
"Invoice Payment Reminder Dear Client, Please be reminded that the invoice is due for payment. Kindly process it at your earliest. Regards, Accounts Team","{'classification': 'No', 'confidence': 72}"
"Free Consultation Booking Dear Kanchan,We are offering a free consultation for new customers. Book your appointment today!Best regards,Service Team","{""classification"": ""No"", ""confidence"": 88}"
"Product Return Request Dear Customer, Kindly process the return of the defective product as per the attached request form. Regards, Customer Service","{""classification"": ""No"", ""confidence"": 60}"
"Supplier Order Status Follow-Up Dear Supplier, Kindly follow up on PO234567. Regards, Priya","{""classification"": ""Yes"", ""confidence"": 77}"
"Promotional Discount Offer Dear Akshata,Get 10% off on your next purchase when you use code SAVE10 at checkout.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 87}"
"Payment Follow-Up Inquiry Dear Supplier, Kindly follow up on the payment for invoice #876543. Regards, Radha","{""classification"": ""No"", ""confidence"": 67}"
"Special Discount Offer Dear Sania,Get 20% off on all purchases made today! Don't miss out on this limited-time offer.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 86}"
"Monthly Report Submission Dear Manager, Kindly find attached the monthly performance report. Please let me know if any changes are needed. Regards, John","{""classification"": ""No"", ""confidence"": 68}"
"Supplier Payment Follow-Up Inquiry Dear Supplier, Kindly follow up on the payment for invoice #987654. Regards, Purva","{""classification"": ""No"", ""confidence"": 67}"
"Supplier Payment Status Inquiry Dear Supplier, Kindly inquire about the payment status for invoice #765432. Regards, Meera","{""classification"": ""No"", ""confidence"": 66}"
"Order Follow-Up Dear Supplier, Kindly follow up on PO876543. Regards, Meera","{""classification"": ""Yes"", ""confidence"": 75}"
"Supplier Payment Clarification Dear Supplier, Kindly clarify the details for invoice #234567. Regards, Akshata","{""classification"": ""No"", ""confidence"": 67}"
"Free Consultation Offer Claim your free consultation today! Hurry, limited slots available. Regards, Service Team","{""classification"": ""No"", ""confidence"": 86}"
,
"Goods Delivery Follow-Up Dear Supplier, Kindly provide an update on the delivery of goods for PO765432. Regards, Shubham","{""classification"": ""Yes"", ""confidence"": 76}"
"Vendor Payment Status Dear Accounts, Kindly confirm if the payment to Vendor X has been processed as of the last update. Regards, Procurement","{""classification"": ""Yes"", ""confidence"": 78}"
"Supplier Payment Status Inquiry Dear Supplier, Kindly inquire about the payment for invoice #345678. Regards, Anand","{""classification"": ""No"", ""confidence"": 67}"
"Holiday Sale - Limited Offer Get 70% off on all items this holiday season! Shop now and save big. Regards, Sales Team","{""classification"": ""No"", ""confidence"": 85}"
"Request for Additional Information Dear Anand,Could you kindly provide additional information about the services you offer?Best regards,Akshata","{""classification"": ""No"", ""confidence"": 70}"
"Free Course Access Sign up today for a free course on digital marketing! Regards, Course Team","{""classification"": ""No"", ""confidence"": 86}"
"Invoice Clarification Follow-Up Dear Supplier, Kindly clarify the discrepancy in invoice #567890. Regards, Priya","{""classification"": ""No"", ""confidence"": 68}"
"Discount on Services Get a 25% discount on our services! Contact us today to claim your offer! Regards, Service Team","{""classification"": ""No"", ""confidence"": 86}"
"Invoice Clarification Follow-Up Dear Supplier, Kindly follow up on invoice #234567. Regards, Anand","{""classification"": ""No"", ""confidence"": 67}"
"Payment Due Soon Dear Akshata,This is a reminder that your payment for invoice #987654 is due soon. Please make the necessary arrangements.Best regards,Account Team","{""classification"": ""No"", ""confidence"": 84}"
"Shipping Delay Notification Dear Anand,We’re experiencing delays with your order #54321 and it will take a few extra days to arrive. Thank you for your patience.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 87}"
"Promotional Offer - Limited Time Only Dear Kanchan,Don't miss out! Get a 20% discount on our services if you book today.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 86}"
"Goods Delivery Confirmation Dear Supplier, Kindly confirm the delivery status for PO123456. Regards, Aditi","{""classification"": ""Yes"", ""confidence"": 76}"
"Legal Agreement Draft Dear Legal, Please review the attached draft of the agreement and provide feedback. Regards, Administration","{""classification"": ""No"", ""confidence"": 68}"
"Exclusive Discount - Limited Offer Dear Anand,Enjoy a special discount of 25% off on all services, valid for today only.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 87}"
"Supplier Order Clarification Dear Supplier, Kindly clarify the details for PO765432. Regards, Priya","{""classification"": ""Yes"", ""confidence"": 76}"
"Supplier Payment Status Follow-Up Dear Supplier, Kindly follow up on payment for invoice #234567. Regards, Anand","{""classification"": ""No"", ""confidence"": 67}"
"Final Reminder - Payment Due Dear Purva,This is your final reminder that payment for invoice #23456 is due. Please make the payment immediately.Best regards,Account Team","{""classification"": ""No"", ""confidence"": 81}"
"Supplier Delivery Follow-Up Dear Supplier, Kindly follow up on the delivery of goods for PO234567. Regards, Aditi","{""classification"": ""Yes"", ""confidence"": 76}"
"New Project Proposal Dear Manager, Please review the attached proposal for the new project and let me know your thoughts. Regards, Product Team","{'classification': 'No', 'confidence': 79}"
"Budget Forecast Submission Dear Manager, Please find attached the budget forecast for the upcoming quarter. Let me know if anything needs to be updated. Regards, Finance","{""classification"": ""No"", ""confidence"": 80}"
"Payment Clarification Follow-Up Dear Customer, Kindly clarify the payment details for invoice #765432. Regards, Meera","{""classification"": ""No"", ""confidence"": 65}"
"Supplier Invoice Clarification Dear Supplier, Kindly clarify the details for invoice #234567. Regards, Snehal","{""classification"": ""No"", ""confidence"": 68}"
"Invoice Confirmation Request Dear Supplier, Kindly confirm the receipt of invoice #234567. Regards, Ajeet","{""classification"": ""No"", ""confidence"": 67}"
"Supplier Acknowledgment Request Dear Supplier, Kindly confirm receipt of PO123456. Regards, Meera","{""classification"": ""Yes"", ""confidence"": 75}"
"Payment Follow-Up Reminder Dear Customer, Kindly settle the payment for invoice #765432. Regards, Priya","{""classification"": ""No"", ""confidence"": 68}"
"Payment Pending Dear Anand,Your payment for invoice #23456 is still pending. Please arrange for payment as soon as possible to avoid any service interruptions.Best regards,Finance Team","{""classification"": ""No"", ""confidence"": 80}"
"Invoice Update Clarification Dear Supplier, Kindly clarify the updates in invoice #567890. Regards, Meera","{""classification"": ""No"", ""confidence"": 64}"
"Shipping Information Request Dear Logistics, Could you please share the shipping information for the upcoming delivery? Regards, Nina","{""classification"": ""Yes"", ""confidence"": 77}"
"Invoice Payment Follow-Up Dear Customer, Kindly follow up with the payment for the invoice #987654. Regards, Priya","{""classification"": ""No"", ""confidence"": 67}"
"Invoice Follow-Up Clarification Dear Supplier, Kindly clarify the details of invoice #345678. Regards, Kirti","{""classification"": ""No"", ""confidence"": 67}"
"Invoice Clarification Reminder Dear Supplier, Kindly clarify the discrepancy for invoice #345678. Regards, Priya","{""classification"": ""No"", ""confidence"": 67}"
"Promotional Offer - Get 10% Discount Get 10% off when you buy now! Limited time offer. Regards, Sales Team","{""classification"": ""No"", ""confidence"": 88}"
"Delivery Date Clarification Dear Supplier, Kindly clarify the expected delivery date for PO998877. Regards, Priya","{""classification"": ""Yes"", ""confidence"": 79}"
"Supplier Order Status Inquiry Dear Supplier, Kindly follow up on PO765432. Regards, Kanchan","{""classification"": ""Yes"", ""confidence"": 75}"
"Promotional Offer - Free Software Trial Get a free trial of our software! Contact us today for more details. Regards, Software Team","{""classification"": ""No"", ""confidence"": 86}"
"Payment Follow-Up Dear Supplier, Kindly follow up on payment for invoice #234567. Regards, Kanchan","{""classification"": ""No"", ""confidence"": 67}"
"Order Confirmation Your order #987654 has been confirmed. Thank you for shopping with us! Regards, E-commerce Team","{""classification"": ""No"", ""confidence"": 90}"
"Goods Delivery Status Inquiry Dear Supplier, Kindly confirm the delivery status of PO567890. Regards, Akshata","{""classification"": ""Yes"", ""confidence"": 75}"
"Free Trial - Get Started Today Start your free trial now! Don’t miss out on this limited offer. Regards, Software Team","{""classification"": ""No"", ""confidence"": 86}"
"Purchase Order Follow-Up Dear Vendor, Kindly update us on the processing status of PO123456. Regards, Shraddha","{""classification"": ""Yes"", ""confidence"": 72}"
"Promotional Offer - Free Trial Get a free trial of our service today! Don't miss out on this offer. Regards, Service Team","{""classification"": ""No"", ""confidence"": 86}"
"Exclusive Offer on Courses Enroll in our course now and get a 40% discount! Regards, Course Team","{""classification"": ""No"", ""confidence"": 87}"
"Order Status Follow-Up Dear Supplier, Kindly follow up on PO345678. Regards, Radha","{""classification"": ""Yes"", ""confidence"": 75}"
"Purchase Our Membership Become a member today and enjoy exclusive benefits. Best regards, Membership Team","{""classification"": ""No"", ""confidence"": 87}"
"Payment Clarification Request Dear Customer, Kindly clarify the payment details for invoice #123456. Regards, Priya","{""classification"": ""No"", ""confidence"": 64}"
"Goods Delivery Inquiry Dear Supplier, Kindly confirm the delivery date for the goods ordered under PO987654. Regards, Shraddha","{""classification"": ""Yes"", ""confidence"": 76}"
"Delivery Clarification Request Dear Supplier, Kindly clarify the expected delivery date for PO234567. Regards, Kirti","{""classification"": ""Yes"", ""confidence"": 75}"
"Promotional Offer on Software Buy one get one free on all our software products today! Regards, Software Team","{""classification"": ""No"", ""confidence"": 88}"
"New Service Launch Dear Anand,We are launching a new service designed to help your business grow. Learn more on our website.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 75}"
"Order Status Update Dear Supplier, Kindly confirm the status for PO456789. Regards, Kanchan","{""classification"": ""Yes"", ""confidence"": 75}"
"Goods Delivery Follow-Up Dear Supplier, Kindly follow up on the delivery status for PO987654. Regards, Shubham","{""classification"": ""Yes"", ""confidence"": 78}"
"Supplier Order Acknowledgment Dear Supplier, Kindly acknowledge receipt of PO234567. Regards, Priya","{""classification"": ""Yes"", ""confidence"": 77}"
"Weekly Team Meeting Dear Team, Our weekly meeting is scheduled for Monday at 10 AM. Please be prepared to discuss the ongoing projects. Regards, Manager","{'classification': 'No', 'confidence': 69}"
"New Hire Confirmation Dear HR, Kindly confirm the onboarding process for our new hire next week. Regards, Team Lead","{'classification': 'No', 'confidence': 80}"
"Goods Dispatch Inquiry Dear Supplier, Kindly inquire about the dispatch status for PO987654. Regards, Radha","{""classification"": ""Yes"", ""confidence"": 75}"
"Invoice Payment Reminder Kindly follow up on invoice #234567. Regards, Purva","{""classification"": ""No"", ""confidence"": 67}"
"Payment Reminder Follow-Up Dear Customer, Kindly follow up on the payment status for invoice #234567. Regards, Shraddha","{""classification"": ""No"", ""confidence"": 69}"
"Vendor Contract Update Dear Vendor, Kindly review the updated contract document and provide feedback. Regards, Legal Team","{'classification': 'No', 'confidence': 70}"
"Year-End Report Submission Dear Manager, Kindly find attached the year-end report for your review. Let me know if any changes are needed. Regards, Team","{'classification': 'No', 'confidence': 76}"
"Supplier Payment Status Follow-Up Dear Supplier, Kindly provide an update on the payment status for invoice #123456. Regards, Shubham","{""classification"": ""No"", ""confidence"": 67}"
"Limited Time Software Discount Get 50% off our software today! Act fast before the offer expires! Regards, Software Team","{""classification"": ""No"", ""confidence"": 89}"
"Goods Dispatch Follow-Up Reminder Dear Supplier, Kindly follow up on the dispatch for PO123456. Regards, Aditi","{""classification"": ""Yes"", ""confidence"": 75}"
"Payment Request Reminder Dear Customer, Kindly follow up on the payment for invoice #234567. Regards, Priya","{""classification"": ""No"", ""confidence"": 66}"
"HR Policy Update Dear Employees, Please note that the HR policy has been updated. Kindly review the changes. Regards, HR Team","{'classification': 'No', 'confidence': 68}"
"Invoice Reminder Dear Radha,This is a reminder that invoice #23456 is due for payment soon. Kindly arrange for payment.Best regards,Account Team","{""classification"": ""No"", ""confidence"": 88}"
"System Upgrade Request Dear IT Team, Kindly initiate the system upgrade for the upcoming month. Please confirm the dates. Regards, Operations","{'classification': 'No', 'confidence': 78}"
"Goods Dispatch Inquiry Dear Supplier, Kindly provide the dispatch details for PO345678. Regards, Aditi","{""classification"": ""Yes"", ""confidence"": 75}"
"Limited Time Offer Dear Purva,Hurry, our limited-time offer ends soon! Don’t miss out on great savings on our top products.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 86}"
"Discount Coupon for New Customers Dear Radha,Get 20% off on your first order when you sign up for our newsletter today.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 86}"
"VIP Member Discount Dear Akshata,As a VIP member, you’re eligible for an additional 20% off. Redeem your discount now!Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 84}"
"Service Inquiry Dear Radha,We are interested in learning more about your services. Please send us more details.Best regards,Purva","{""classification"": ""No"", ""confidence"": 65}"
"Invoice Payment Reminder Dear Supplier, Kindly remind about invoice #678901. Regards, Akshata","{""classification"": ""No"", ""confidence"": 67}"
"Invoice Payment Clarification Dear Supplier, Kindly clarify the payment status for invoice #789012. Regards, Purva","{""classification"": ""No"", ""confidence"": 67}"
"Client Meeting Confirmation Dear Client, This is to confirm the meeting scheduled for next Tuesday. Kindly confirm your availability. Regards, Sales Team","{'classification': 'No', 'confidence': 81}"
"Purchase Order Follow-Up Dear Supplier, Following up on the purchase order. Kindly confirm if the dispatch is on schedule. Regards, Karen","{""classification"": ""Yes"", ""confidence"": 85}"
"Invoice Status Clarification Request Dear Supplier, Kindly clarify the status of invoice #345678. Regards, Shraddha","{""classification"": ""No"", ""confidence"": 67}"
"Supplier Payment Status Inquiry Dear Supplier, Kindly inquire about the payment status for invoice #765432. Regards, Shubham","{""classification"": ""No"", ""confidence"": 68}"
"Weekly Status Report Dear Manager, Kindly find the weekly status report attached. Let me know if anything needs to be updated. Regards, Marketing Team","{""classification"": ""No"", ""confidence"": 65}"
"Delivery Tracking Request Dear Logistics, Could you please provide the tracking details for the delivery scheduled this week? Regards, Operations","{""classification"": ""No"", ""confidence"": 70}"
"Invoice Follow-Up Clarification Dear Supplier, Kindly clarify the details of invoice #567890. Regards, Kirti","{""classification"": ""No"", ""confidence"": 65}"
"Goods Receipt Confirmation Dear Supplier, Kindly confirm the receipt of goods as per PO112233. Regards, Meera","{""classification"": ""Yes"", ""confidence"": 75}"
"Goods Dispatch Inquiry Dear Supplier, Kindly inquire about the dispatch status for PO987654. Regards, Meera","{""classification"": ""Yes"", ""confidence"": 74}"
"Follow-Up on Consultation Dear Kanchan,We hope you enjoyed your free consultation. Please let us know if you have any further questions.Best regards,Service Team","{""classification"": ""No"", ""confidence"": 80}"
"Invoice Clarification Follow-Up Dear Supplier, Kindly clarify the discrepancies for invoice #234567. Regards, Akankha","{""classification"": ""No"", ""confidence"": 67}"
"Follow-Up on PO567890 Dear Supplier, Kindly follow up on PO567890. Regards, Purva","{""classification"": ""Yes"", ""confidence"": 75}"
"Product Order Status Dear Supplier, Kindly confirm the status of the product order placed last week. Regards, Sales Team","{'classification': 'Yes', 'confidence': 81}"
"Goods Delivery Confirmation Follow-Up Dear Supplier, Kindly confirm the delivery details for PO876543. Regards, Shraddha","{""classification"": ""Yes"", ""confidence"": 75}"
"Invoice Clarification Request Dear Vendor, Kindly clarify the invoice discrepancy regarding the amount. Regards, Kirti","{""classification"": ""No"", ""confidence"": 63}"
"Goods Delivery Request Follow-Up Dear Supplier, Kindly request an update on the delivery status for PO234567. Regards, Priya","{""classification"": ""Yes"", ""confidence"": 74}"
"Payment Status Clarification Follow-Up Dear Customer, Kindly clarify the payment status for invoice #345678. Regards, Priya","{""classification"": ""No"", ""confidence"": 69}"
"Special Offer on Products Get 50% off on all products today! Limited time only. Regards, Sales Team","{""classification"": ""No"", ""confidence"": 88}"
"Special Discount for Loyal Customers Dear Kanchan,As a valued customer, enjoy an exclusive 20% discount on your next purchase.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 88}"
"Promotion - Exclusive Software Offer Get our software at a 40% discount for a limited time! Shop now! Regards, Software Team","{""classification"": ""No"", ""confidence"": 88}"
"Delivery Confirmation Request Dear Supplier, Kindly confirm the expected delivery date for PO456789. Regards, Priya","{""classification"": ""Yes"", ""confidence"": 78}"
"Goods Delivery Confirmation Dear Supplier, Kindly confirm the delivery status for PO234567. Regards, Meera","{""classification"": ""Yes"", ""confidence"": 75}"
"Order Confirmation Dear Supplier, Kindly confirm the order for PO987654. Regards, Radha","{""classification"": ""Yes"", ""confidence"": 75}"
"Supplier Payment Inquiry Dear Supplier, Kindly inquire about the payment for invoice #123456. Regards, Radha","{""classification"": ""No"", ""confidence"": 67}"
"Product Feature Announcement Dear Anand,We’ve added a new feature to our product! Check it out now and let us know what you think.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 80}"
"Invoice Payment Reminder Kindly follow up on the payment for invoice #987654. Regards, Purva","{""classification"": ""No"", ""confidence"": 67}"
"Payment Status Inquiry Dear Customer, Kindly inquire about the payment status for invoice #345678. Regards, Priya","{""classification"": ""No"", ""confidence"": 69}"
"Subscription Renewal Reminder Dear Purva,Your subscription is about to expire. Renew now to continue receiving exclusive content.Best regards,Subscription Team","{""classification"": ""No"", ""confidence"": 83}"
"Exclusive Offer on Products Get 50% off on our products! Shop now to claim your offer. Regards, Sales Team","{""classification"": ""No"", ""confidence"": 88}"
"Goods Delivery Follow-Up Dear Supplier, Kindly provide an update on the delivery of PO876543. Regards, Aditi","{""classification"": ""Yes"", ""confidence"": 77}"
"Invoice Payment Inquiry Dear Customer, Kindly inquire about the payment status for invoice #876543. Regards, Meera","{""classification"": ""No"", ""confidence"": 66}"
"Product Feedback Form Dear Customer, Kindly fill out the product feedback form to help us improve our services. Regards, Customer Support","{""classification"": ""No"", ""confidence"": 66}"
"Limited Time Sale on Products Get 50% off on all products today! Shop now! Regards, Sales Team","{""classification"": ""No"", ""confidence"": 89}"
"Supplier Delivery Update Dear Supplier, Kindly update us on the delivery status for PO123456. Regards, Shraddha","{""classification"": ""Yes"", ""confidence"": 75}"
"Exclusive Offer - Discounted Services Get 20% off on services today! Don’t miss out! Regards, Service Team","{""classification"": ""No"", ""confidence"": 87}"
"Goods Receipt Confirmation Dear Supplier, Kindly confirm receipt of goods for PO112233. Regards, Shraddha","{""classification"": ""Yes"", ""confidence"": 75}"
"Payment Query Dear Customer, Kindly clarify the payment status for the invoice #998877. Regards, Sujit","{""classification"": ""No"", ""confidence"": 64}"
"Loyalty Program Enrollment Dear Purva,Welcome to our loyalty program! Enjoy exclusive rewards and discounts on every purchase.Best regards,Loyalty Team","{""classification"": ""No"", ""confidence"": 86}"
"Notice Dear All, Please be informed that the software update will be carried out on the following weekend. Regards, IT Team","{""classification"": ""No"", ""confidence"": 75}"
"Invoice Clarification Follow-Up Dear Supplier, Kindly clarify the payment details for invoice #345678. Regards, Kirti","{""classification"": ""No"", ""confidence"": 67}"
"Goods Dispatch Clarification Dear Supplier, Kindly clarify the dispatch status for PO123654. Regards, Radha","{""classification"": ""Yes"", ""confidence"": 75}"
"Order Update Dear Purva,We wanted to update you regarding your order. It is expected to ship next week.Best regards,Sales Team","{""classification"": ""Yes"", ""confidence"": 75}"
"Payment Clarification Request Dear Customer, Kindly clarify the payment status for invoice #112233. Regards, Ajeet","{""classification"": ""No"", ""confidence"": 66}"
"Goods Delivery Follow-Up Dear Supplier, Kindly follow up on the delivery status for PO987654. Regards, Shubham","{""classification"": ""Yes"", ""confidence"": 75}"
"Free Consultation Offer Book a free consultation now and enhance your business strategy! Regards, Service Team","{""classification"": ""No"", ""confidence"": 86}"
"Order Shipping Update Dear Sania,Your order has been shipped and is on its way. Track your shipment with the tracking number provided.Best regards,Akshata","{""classification"": ""Yes"", ""confidence"": 75}"
"Supplier Payment Status Dear Supplier, Kindly provide an update on the payment status for PO112233. Regards, Ajeet","{""classification"": ""No"", ""confidence"": 66}"
"Supplier Payment Clarification Dear Supplier, Kindly clarify the invoice details for #765432. Regards, Akshata","{""classification"": ""No"", ""confidence"": 67}"
"New Product Launch Notification Dear Team, The new product launch is scheduled for next week. Please ensure all tasks are completed before the launch. Regards, Product Team","{'classification': 'No', 'confidence': 83}"
"Loyalty Points Expiry Reminder Dear Purva,Your loyalty points are about to expire. Use them before they’re gone to save on your next purchase.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 86}"
"System Maintenance Notice Dear All, Please be informed that system maintenance will occur this weekend. Kindly ensure no critical work is pending during that time. Regards, IT Team","{'classification': 'No', 'confidence': 81}"
"Free Course Access Get access to our free course today! Enroll now to start learning. Regards, Education Team","{""classification"": ""No"", ""confidence"": 85}"
"Order Status Inquiry Dear Supplier, Kindly provide the status of PO345678. Regards, Meera","{""classification"": ""Yes"", ""confidence"": 75}"
"Free Trial Software Offer Try our software free for 30 days! Limited spots available. Regards, Software Team","{""classification"": ""No"", ""confidence"": 86}"
"Goods Dispatch Status Request Dear Supplier, Kindly request an update on goods dispatch for PO234567. Regards, Shubham","{""classification"": ""Yes"", ""confidence"": 74}"
"Payment Reminder Dear Customer, Kindly settle the overdue payment for invoice #123456 at the earliest. Regards, Aditi","{""classification"": ""No"", ""confidence"": 68}"
"Client Project Update Dear Client, Kindly find the latest update on your project. Let us know if there are any further changes required. Regards, Account Manager","{'classification': 'No', 'confidence': 76}"
"Supplier Order Status Inquiry Kindly follow up on PO123456. Regards, Radha","{""classification"": ""Yes"", ""confidence"": 75}"
"Goods Dispatch Follow-Up Reminder Dear Supplier, Kindly provide an update on goods dispatch for PO987654. Regards, Aditi","{""classification"": ""Yes"", ""confidence"": 75}"
"Delivery Time Update Dear Vendor, Kindly provide an update on the delivery schedule for PO987654. Regards, Snehal","{""classification"": ""Yes"", ""confidence"": 75}"
"Delivery Schedule Confirmation Dear Supplier, Kindly confirm the delivery schedule for PO123456. Regards, Ramesh","{""classification"": ""Yes"", ""confidence"": 77}"
"Goods Receipt Update Dear Supplier, Kindly update us on the status of goods receipt for PO567890. Regards, Ajeet","{""classification"": ""Yes"", ""confidence"": 79}"
"Supplier Payment Status Inquiry Dear Supplier, Kindly inquire about the payment status for invoice #234567. Regards, Meera","{""classification"": ""No"", ""confidence"": 67}"
"Request for Shipment Status Dear Team, Please provide an update on the shipment status for the order. Regards, Ajeet","{""classification"": ""Yes"", ""confidence"": 78}"
"Free Software Trial Try our software free for 30 days. Limited spots available. Regards, Software Team","{""classification"": ""No"", ""confidence"": 86}"
"Goods Dispatch Status Request Dear Supplier, Kindly inquire about the dispatch status for PO234567. Regards, Shraddha","{""classification"": ""Yes"", ""confidence"": 75}"
"Free Consultation - Get Started Today Start your free consultation today! Limited slots available. Regards, Service Team","{""classification"": ""No"", ""confidence"": 86}"
"Supplier Order Status Follow-Up Dear Supplier, Kindly follow up on PO654321. Regards, Radha","{""classification"": ""Yes"", ""confidence"": 75}"
"Shipment Update Dear Supplier, Kindly provide an update on the shipment status of PO876543. Regards, Rahul","{""classification"": ""Yes"", ""confidence"": 74}"
"Invoice Clarification Dear Sir/Madam, Kindly clarify the discrepancy in the invoice details. Regards, Anita","{""classification"": ""No"", ""confidence"": 64}"
"Invoice Status Clarification Request Dear Supplier, Kindly request clarification on the status of invoice #765432. Regards, Priya","{""classification"": ""No"", ""confidence"": 67}"
"Free Trial Access Claim your free trial today! Don’t miss this chance. Regards, Service Team","{""classification"": ""No"", ""confidence"": 86}"
"Vendor Update Confirmation Dear Vendor, Kindly update us on the status of the recent order. Regards, Procurement","{""classification"": ""Yes"", ""confidence"": 76}"
"Buy Now - Special Software Discount Get an exclusive discount on our software! Buy now and save big! Regards, Software Team","{""classification"": ""No"", ""confidence"": 89}"
"Exclusive Offer for New Customers Dear Akshata,Get an exclusive 10% discount on all products when you sign up as a new customer.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 86}"
"Payment Status Clarification Follow-Up Dear Customer, Kindly clarify the payment status for invoice #112233. Regards, Ajeet","{""classification"": ""No"", ""confidence"": 69}"
"Invoice Query Follow-Up Dear Supplier, Kindly follow up on the clarification for invoice #123456. Regards, Shubham","{""classification"": ""No"", ""confidence"": 64}"
"Training Session Feedback Request Dear All, Please provide feedback on the training session conducted last week. Regards, HR Team","{""classification"": ""No"", ""confidence"": 67}"
"Supplier Delivery Follow-Up Dear Supplier, Kindly provide an update on the delivery of goods for PO765432. Regards, Meera","{""classification"": ""Yes"", ""confidence"": 75}"
"Supplier Delivery Schedule Dear Supplier, Kindly provide an updated delivery schedule for PO345678. Regards, Snehal","{""classification"": ""Yes"", ""confidence"": 75}"
"Personalized Offer for You Dear Akshata,We have a personalized offer just for you! Enjoy discounts on your favorite products.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 84}"
"Special Offer - 25% Off Dear Akshata,Take advantage of our 25% discount on all products. This offer is valid for today only.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 88}"
"Follow-Up on Payment for Invoice Kindly follow up on payment for invoice #234567. Regards, Purva","{""classification"": ""No"", ""confidence"": 67}"
"Goods Delivery Schedule Dear Supplier, Kindly provide the delivery schedule for PO345678. Regards, Shraddha","{""classification"": ""Yes"", ""confidence"": 75}"
"Invoice Clarification Follow-Up Reminder Dear Supplier, Kindly clarify the details for invoice #123456. Regards, Meera","{""classification"": ""No"", ""confidence"": 67}"
"Free Consultation on Services Get a free consultation when you purchase our services! Regards, Service Team","{""classification"": ""No"", ""confidence"": 86}"
"Payment Status Clarification Dear Customer, Kindly clarify the payment status for invoice #234567. Regards, Meera","{""classification"": ""No"", ""confidence"": 65}"
"Invoice Status Follow-Up Dear Supplier, Kindly follow up on the payment status for invoice #876543. Regards, Priya","{""classification"": ""No"", ""confidence"": 65}"
"Free Course Discount Get a free course with our subscription plan! Enroll now to claim the offer. Regards, Course Team","{""classification"": ""No"", ""confidence"": 86}"
"New Service Announcement Dear Purva,We are introducing a new service to enhance your experience with us. Stay tuned for more updates.Best regards,Service Team","{""classification"": ""No"", ""confidence"": 87}"
"Payment Follow-Up Dear Customer, Kindly settle the outstanding payment at your earliest convenience. Regards, Ramesh","{""classification"": ""No"", ""confidence"": 66}"
"Inventory Adjustment Required Dear Supplier, Kindly update the inventory records based on the attached PO. Regards, Komal","{""classification"": ""Yes"", ""confidence"": 69}"
"Exclusive Offer - Discount on Products Get up to 50% off on select products! Limited time offer. Regards, Sales Team","{""classification"": ""No"", ""confidence"": 88}"
"Invoice Status Inquiry Kindly inquire about the payment for invoice #345678. Regards, Purva","{""classification"": ""No"", ""confidence"": 67}"
"Product Delivery Status Dear Supplier, Could you please update the status of the product delivery for PO12345? Regards, Operations","{""classification"": ""Yes"", ""confidence"": 80}"
"Invoice Clarification Request Dear Supplier, Kindly clarify the details of invoice #234567. Regards, Shraddha","{""classification"": ""No"", ""confidence"": 65}"
"Membership Renewal Reminder Dear Purva,Your membership is about to expire. Renew now to continue enjoying our exclusive benefits.Best regards,Service Team","{""classification"": ""No"", ""confidence"": 84}"
"Confirmation for Bulk Order Dear Supplier, Kindly confirm the receipt of our bulk order and share the delivery schedule. Regards, Swapnil","{""classification"": ""Yes"", ""confidence"": 77}"
"Goods Delivery Status Inquiry Dear Supplier, Kindly inquire about the delivery status for PO876543. Regards, Shubham","{""classification"": ""Yes"", ""confidence"": 74}"
"Invoice Payment Clarification Dear Customer, Kindly clarify the payment details for invoice #765432. Regards, Aditi","{""classification"": ""No"", ""confidence"": 68}"
"Purchase Our Online Course Get our online course at a discounted price! Enroll now! Regards, Course Team","{""classification"": ""No"", ""confidence"": 86}"
"Invoice Clarification Request Dear Supplier, Kindly clarify the invoice details for #567890. Regards, Shubham","{""classification"": ""No"", ""confidence"": 68}"
"Interview Invitation Dear Candidate, We are pleased to invite you for an interview. Kindly confirm your availability. Regards, HR Team","{""classification"": ""No"", ""confidence"": 70}"
"Free Trial - Sign Up Now Get a free trial of our software now! Hurry, limited spots available. Regards, Software Team","{""classification"": ""No"", ""confidence"": 86}"
"Promotional Discount on Services Get 15% off on services when you book now! Hurry, limited spots available. Regards, Service Team","{""classification"": ""No"", ""confidence"": 88}"
"Invoice Clarification Kindly clarify the details for invoice #234567. Regards, Purva","{""classification"": ""No"", ""confidence"": 67}"
"Supplier Order Clarification Follow-Up Dear Supplier, Kindly clarify the details for PO765432. Regards, Meera","{""classification"": ""Yes"", ""confidence"": 75}"
"Purchase Our Premium Plan Purchase our premium plan today and enjoy the benefits! Regards, Premium Team","{""classification"": ""No"", ""confidence"": 89}"
